name,address,lat,lng
"ADACHI MOTORS","ECHEVERRIA 1050, ENTRE CAZADORES Y HUSARES, NUÑEZ",-34.5547258904726,-58.4420978302065
"ALBERDI INST. INTEGRACION","AV. JUAN BAUTISTA ALBERDI 2241 -CABA",-34.6304827,-58.4593483
"ALCEMAR","AV ZAPIOLA 4561 (BERNAL OESTE)",-34.7296972,-58.3099767
"ALCEMAR PARQUE INDUSTRIAL (DISERGLASSS)","PREDIO DEL PARQUE INDUSTRIAL QUILMES",-34.7304715910339,-58.3295022770063
"AMC","HUMBOLDT 1967",-34.5828421,-58.4328677
"ANDREANI","GRAL. SAN MARTIN 4741, FLORIDA OESTE",-34.5426103132609,-58.5236802355116
"ARTEC INGENIERIA (KING 386)","KING 386 ALMAGRO - CABA",-34.607577,-58.4270847
"ARTEC INGENIERIA (OBRERO NUÑEZ)","OBRERO NUÑEZ 4330",-34.6035749,-58.4263099
"ASAHI MOTORS","AV. PRESIDENTE PERON 8919 - ITUZAINGO",-34.6320021,-58.6782549
"AUSTUM CHEMICAL","AV MONSEÑOR BUFANO 1848 SAN JUSTO",-34.6995406,-58.5424255
"AUTO MOTION","AGUSTIN GARCIA 6139",-34.6296746,-58.5096773
"AUTOMOTORES RUSSONIELLO","AV. SANTA FE 999 ( ACASSUSO )",-34.4819286,-58.5055543
"AXA","MAIPU 255  (CABA)",-34.6051896,-58.3765078
"BASAA","SAN MARTIN 536",-34.6017038,-58.3740101
"BODEGAS LA QUINTANA","Km 176, RP6",-34.387666782478,-59.017054991881
"BUENOS AIRES TECH (IOAT)","Paraná 749",-34.6640094,-58.615742
"BUKTUS SURE (STREMING)","OLAZABAL 1515 - PISO 13 OFI 1309",-34.5676055,-58.4708195
"CA GROUP","AV.GENERAL PAZ  7955(CIUDADELA)",-34.6237664,-58.5309683
"CARLZEISS VISION ARGENTINA","PERON 1558",-34.6632635,-58.5740374
"CASAS DE CATAMARCA","AVENIDA CORDOBA 2080 ( CABA)",-34.5999918,-58.3967364
"CASAS DE SANTA CRUZ","25 DE MAYO 279",-34.6044477,-58.3709006
"CENTRO DE MICROONDAS","SAN JOSE 345 - CABA - INICIO 02-02",-34.6128439,-58.3862044
"CLINICA OFTALMOLOGICA ALTA DENSIDAD (SORIANO)","SANCHEZ DE BUSTAMANTE 1086",-34.5982526,-58.4134046
"CLUB NAUTICO SUDESTE","DARSENA GAUTO Y PAVON S/N BECCAR",-34.4504901,-58.5183738
"CONS. PROPIETARIOS ARANGUREN 686","ARANGUREN 686",-34.6144095,-58.4419621
"CONS. PROPIETARIOS AUSTRIA 2510","AUSTRIA 2510",-34.5848445,-58.3998318
"CONS. PROPIETARIOS AZPIRUA 2742","AZPIRUA 2742",-34.5762834,-58.4969164
"CONS. PROPIETARIOS BULNES 779","BULNES 779",-34.602492,-58.4178521
"CONS. PROPIETARIOS CABRERA 3940","CABRERA 3940",-34.5964733,-58.4222294
"CONS. PROPIETARIOS CALLAO 625","CALLAO 625",-34.60162,-58.3925105
"CONS. PROPIETARIOS CARLOS CALVO . TORRE III","CARLOS CALVO 3040",-34.6222378,-58.4080691
"CONS. PROPIETARIOS CARLOS CALVO TORE II","CARLOS CALVO 3040",-34.6222378,-58.4080691
"CONS. PROPIETARIOS CASTEX 3437","CASTEX 3437",-34.577509,-58.406375
"CONS. PROPIETARIOS CHARCAS 2744","CHARCAS 2744",-34.6609976,-58.5274473
"CONS. PROPIETARIOS COCHABAMBA 4220","COCHABAMBA 4220",-34.6280548,-58.4241566
"CONS. PROPIETARIOS CORRIENTES 753","CORRIENTES 753",-34.7289297,-58.2673865
"CONS. PROPIETARIOS FITZ ROY 1965","FITZ ROY 1965",-34.5821274,-58.4336391
"CONS. PROPIETARIOS GUARDIA VIEJA 4432","GUARDIA VIEJA 4432",-34.600109,-58.4272606
"CONS. PROPIETARIOS GUATEMALA 5059","GUATEMALA 5059",-34.5836781,-58.42765
"CONS. PROPIETARIOS GURRUCHAGA 2252","GURRUCHAGA 2252",-34.5848929,-58.4227027
"CONS. PROPIETARIOS HABANA 4425","HABANA 4425",-34.6009749,-58.5186434
"CONS. PROPIETARIOS HONDURAS 3830","HONDURAS 3830",-34.5942031,-58.4170412
"CONS. PROPIETARIOS HUMAHUACA 3788","HUMAHUACA 3788",-34.6022926,-58.4176439
"CONS. PROPIETARIOS JORGE NEWBERY 3268","JORGE NEWBERY 3268",-34.5798423,-58.4472014
"CONS. PROPIETARIOS LIBERTADOR 1904","LIBERTADOR 1904",-34.5826261,-58.4005361
"CONS. PROPIETARIOS LIBERTADOR 5975","LIBERTADOR 5975",-34.5568565,-58.4473114
"CONS. PROPIETARIOS MARIO BRAVO 1196","MARIO BRAVO 1196",-34.605236,-58.4170196
"CONS. PROPIETARIOS MIGUELETES 751","MIGUELETES 751",-34.5666947,-58.4335472
"CONS. PROPIETARIOS MONROE 5366","MONROE 5366",-34.576131,-58.4893477
"CONS. PROPIETARIOS NAZCA 4650","NAZCA 4650",-34.5867409,-58.5018851
"CONS. PROPIETARIOS NEUQUEN 3780","NEUQUEN 3780",-34.6200211,-58.4701779
"CONS. PROPIETARIOS ORO 2440","ORO 2440",-34.5798896,-58.4250451
"CONS. PROPIETARIOS PEDRO DE MENDOZA 2563","PEDRO DE MENDOZA 2563",-34.4510635,-58.5227162
"CONS. PROPIETARIOS QUARTIER","Av. Juan Bautista Justo 1045, CABA",-34.5790345,-58.4272672
"CONS. PROPIETARIOS RODRIGUEZ PEÑA 453","RODRIGUEZ PEÑA 453",-34.6036631,-58.3907649
"CONS. PROPIETARIOS ROQUE SAENZ PEÑA 124","ROQUE SAENZ PEÑA 124",-34.785802,-58.3831229
"CONS. PROPIETARIOS ROSARIO 814","ROSARIO 814",-34.6206127,-58.4400142
"CONS. PROPIETARIOS SALVADOR SOREDA 6208","SALVADOR SOREDA 6208",-34.699582,-58.311898
"CONS. PROPIETARIOS SAN JUAN 3369","SAN JUAN 3369",-34.7343005,-58.2994106
"CONS. PROPIETARIOS SANCHEZ DE BUSTAMANTE 2169","SANCHEZ DE BUSTAMANTE 2169",-34.5874899,-58.4057585
